procedure-a      1     1   9.456    24
procedure-a      1     2   8.054     2
procedure-a      1     3   4.820    26
procedure-a      1     4   9.339     5
procedure-a      1     5   5.699     5
procedure-a      1     6   4.086     3
procedure-a      2     1   8.496    24
procedure-a      2     2   8.311     2
procedure-a      2     3   5.222    26
procedure-a      2     4   7.711     5
procedure-a      2     5   6.002     5
procedure-a      2     6   4.116     3
procedure-a      3     1   9.794    24
procedure-a      3     2   7.630     2
procedure-a      3     3   4.749    26
procedure-a      3     4   7.359     5
procedure-a      3     5   5.194     5
procedure-a      3     6   3.476     3
procedure-a      4     1   7.705    24
procedure-a      4     2   6.604     2
procedure-a      4     3   4.378    26
procedure-a      4     4   7.308     5
procedure-a      4     5   5.104     5
procedure-a      4     6   3.318     3
procedure-a      5     1   7.170    24
procedure-a      5     2   7.202     2
procedure-a      5     3   4.088    26
procedure-a      5     4   8.075     5
procedure-a      5     5   4.195     5
procedure-a      5     6   4.421     3
procedure-a      6     1   6.551    24
procedure-a      6     2   6.656     2
procedure-a      6     3   3.952    26
procedure-a      6     4   7.961     5
procedure-a      6     5   4.407     5
procedure-a      6     6   3.659     3
procedure-a      7     1   6.792    24
procedure-a      7     2   7.077     2
procedure-a      7     3   4.170    26
procedure-a      7     4   7.268     5
procedure-a      7     5   4.172     5
procedure-a      7     6   3.575     3
procedure-a      8     1   7.899    24
procedure-a      8     2   6.684     2
procedure-a      8     3   3.718    26
procedure-a      8     4   7.817     5
procedure-a      8     5   4.804     5
procedure-a      8     6   3.529     3
procedure-a      9     1   7.430    24
procedure-a      9     2   6.691     2
procedure-a      9     3   4.093    26
procedure-a      9     4   6.802     5
procedure-a      9     5   4.023     5
procedure-a      9     6   3.510     3
procedure-a     10     1   8.419    24
procedure-a     10     2   7.685     2
procedure-a     10     3   4.348    26
procedure-a     10     4   7.497     5
procedure-a     10     5   4.307     5
procedure-a     10     6   4.203     3
procedure-a     11     1   6.376    24
procedure-a     11     2   7.855     2
procedure-a     11     3   4.061    26
procedure-a     11     4   7.335     5
procedure-a     11     5   4.548     5
procedure-a     11     6   2.849     3
procedure-a     12     1   6.060    24
procedure-a     12     2   7.149     2
procedure-a     12     3   3.527    26
procedure-a     12     4   6.585     5
procedure-a     12     5   4.073     5
procedure-a     12     6   2.880     3
procedure-a     13     1   5.895    24
procedure-a     13     2   5.947     2
procedure-a     13     3   3.639    26
procedure-a     13     4   5.822     5
procedure-a     13     5   4.763     5
procedure-a     13     6   3.365     3
procedure-a     14     1   5.456    24
procedure-a     14     2   6.069     2
procedure-a     14     3   3.277    26
procedure-a     14     4   6.478     5
procedure-a     14     5   4.266     5
procedure-a     14     6   2.633     3
procedure-a     15     1   6.285    24
procedure-a     15     2   6.827     2
procedure-a     15     3   2.947    26
procedure-a     15     4   5.960     5
procedure-a     15     5   3.460     5
procedure-a     15     6   2.522     3
procedure-a     16     1   5.911    24
procedure-a     16     2   6.850     2
procedure-a     16     3   2.913    26
procedure-a     16     4   5.834     5
procedure-a     16     5   3.457     5
procedure-a     16     6   2.538     3
procedure-a     17     1   5.671    24
procedure-a     17     2   4.900     2
procedure-a     17     3   2.899    26
procedure-a     17     4   5.776     5
procedure-a     17     5   4.679     5
procedure-a     17     6   2.679     3
procedure-a     18     1   5.807    24
procedure-a     18     2   5.534     2
procedure-a     18     3   2.932    26
procedure-a     18     4   6.187     5
procedure-a     18     5   3.165     5
procedure-a     18     6   2.353     3
procedure-a     19     1   5.158    24
procedure-a     19     2   5.180     2
procedure-a     19     3   2.951    26
procedure-a     19     4   6.004     5
procedure-a     19     5   4.252     5
procedure-a     19     6   2.716     3
procedure-a     20     1   6.309    24
procedure-a     20     2   6.606     2
procedure-a     20     3   2.842    26
procedure-a     20     4   6.145     5
procedure-a     20     5   3.265     5
procedure-a     20     6   1.856     3
procedure-a     21     1   5.660    24
procedure-a     21     2   4.861     2
procedure-a     21     3   2.851    26
procedure-a     21     4   6.087     5
procedure-a     21     5   3.303     5
procedure-a     21     6   2.105     3
procedure-a     22     1   6.412    24
procedure-a     22     2   5.487     2
procedure-a     22     3   2.864    26
procedure-a     22     4   6.095     5
procedure-a     22     5   4.181     5
procedure-a     22     6   2.031     3
procedure-a     23     1   5.134    24
procedure-a     23     2   4.623     2
procedure-a     23     3   2.812    26
procedure-a     23     4   5.635     5
procedure-a     23     5   2.955     5
procedure-a     23     6   1.916     3
procedure-a     24     1   4.838    24
procedure-a     24     2   5.157     2
procedure-a     24     3   2.839    26
procedure-a     24     4   4.957     5
procedure-a     24     5   2.906     5
procedure-a     24     6   1.824     3
procedure-a     25     1   5.228    24
procedure-a     25     2   4.773     2
procedure-a     25     3   2.473    26
procedure-a     25     4   5.414     5
procedure-a     25     5   2.592     5
procedure-a     25     6   1.681     3
procedure-a     26     1   5.306    24
procedure-a     26     2   4.588     2
procedure-a     26     3   2.526    26
procedure-a     26     4   5.034     5
procedure-a     26     5   2.350     5
procedure-a     26     6   2.094     3
procedure-a     27     1   5.032    24
procedure-a     27     2   5.076     2
procedure-a     27     3   2.246    26
procedure-a     27     4   4.581     5
procedure-a     27     5   2.216     5
procedure-a     27     6   1.942     3
procedure-a     28     1   4.538    24
procedure-a     28     2   4.344     2
procedure-a     28     3   2.297    26
procedure-a     28     4   4.573     5
procedure-a     28     5   2.442     5
procedure-a     28     6   1.896     3
procedure-a     29     1   4.999    24
procedure-a     29     2   4.034     2
procedure-a     29     3   2.206    26
procedure-a     29     4   4.533     5
procedure-a     29     5   1.994     5
procedure-a     29     6   1.638     3
procedure-a     30     1   5.090    24
procedure-a     30     2   3.936     2
procedure-a     30     3   2.051    26
procedure-a     30     4   4.375     5
procedure-a     30     5   2.015     5
procedure-a     30     6   1.672     3
procedure-a     31     1   5.140    24
procedure-a     31     2   3.733     2
procedure-a     31     3   2.138    26
procedure-a     31     4   4.283     5
procedure-a     31     5   2.199     5
procedure-a     31     6   1.628     3
procedure-a     32     1   4.621    24
procedure-a     32     2   3.611     2
procedure-a     32     3   1.977    26
procedure-a     32     4   4.502     5
procedure-a     32     5   2.796     5
procedure-a     32     6   1.635     3
procedure-a     33     1   4.433    24
procedure-a     33     2   3.103     2
procedure-a     33     3   2.065    26
procedure-a     33     4   4.428     5
procedure-a     33     5   2.581     5
procedure-a     33     6   1.117     3
procedure-a     34     1   3.690    24
procedure-a     34     2   3.131     2
procedure-a     34     3   1.962    26
procedure-a     34     4   4.246     5
procedure-a     34     5   2.137     5
procedure-a     34     6   1.451     3
procedure-a     35     1   3.750    24
procedure-a     35     2   3.476     2
procedure-a     35     3   1.980    26
procedure-a     35     4   4.623     5
procedure-a     35     5   2.396     5
procedure-a     35     6   1.378     3
procedure-a     36     1   4.153    24
procedure-a     36     2   3.414     2
procedure-a     36     3   2.051    26
procedure-a     36     4   4.011     5
procedure-a     36     5   2.163     5
procedure-a     36     6   1.511     3
procedure-a     37     1   3.817    24
procedure-a     37     2   3.572     2
procedure-a     37     3   1.903    26
procedure-a     37     4   4.339     5
procedure-a     37     5   1.918     5
procedure-a     37     6   1.254     3
procedure-a     38     1   3.340    24
procedure-a     38     2   3.529     2
procedure-a     38     3   1.903    26
procedure-a     38     4   4.340     5
procedure-a     38     5   1.849     5
procedure-a     38     6   1.414     3
procedure-a     39     1   3.420    24
